# Matter power spectrum P(k) at redshift z=0
# for k=1.05233e-05 to 105.341 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052325563190e-05       5.086798340558e+01 
       1.324799392981e-05       6.348685630744e+01 
       1.667823621353e-05       7.923603325717e+01 
       2.099665539312e-05       9.889196100072e+01 
       2.643322303708e-05       1.234236003054e+02 
       3.327745619701e-05       1.540401239078e+02 
       4.189383524628e-05       1.922502770291e+02 
       5.274121378906e-05       2.399363620138e+02 
       6.639725428791e-05       2.994461924078e+02 
       8.358919069641e-05       3.737071963508e+02 
       1.052325563190e-04       4.663674430065e+02 
       1.324799392981e-04       5.819690724167e+02 
       1.667823621353e-04       7.261596948429e+02 
       2.099665539312e-04       9.059466255762e+02 
       2.643322303708e-04       1.129996332470e+03 
       3.327745619701e-04       1.408976100809e+03 
       4.189383524628e-04       1.755925722956e+03 
       5.274121378906e-04       2.186634695167e+03 
       6.639725428791e-04       2.719986571000e+03 
       8.358919069641e-04       3.378210132618e+03 
       1.052325563190e-03       4.186904706193e+03 
       1.324799392981e-03       5.174545896857e+03 
       1.667823621353e-03       6.370939062578e+03 
       2.099665539312e-03       7.804961494727e+03 
       2.643322303708e-03       9.499809400051e+03 
       3.327745619701e-03       1.146637942564e+04 
       4.189383524628e-03       1.369424432418e+04 
       5.274121378906e-03       1.613929777576e+04 
       6.639725428791e-03       1.870854724951e+04 
       8.358919069642e-03       2.124618811207e+04 
       1.052325563190e-02       2.351417693927e+04 
       1.324799392981e-02       2.518527645765e+04 
       1.667823621350e-02       2.585605651615e+04 
       2.099665522924e-02       2.512988348739e+04 
       2.643309761834e-02       2.282080715776e+04 
       3.326002122651e-02       1.927517736439e+04 
       4.131135589294e-02       1.570683238070e+04 
       4.811202194738e-02       1.364811130195e+04 
       5.304182528443e-02       1.263023974546e+04 
       5.710511145546e-02       1.199202503100e+04 
       6.073207945960e-02       1.150813103074e+04 
       6.411431392845e-02       1.108472221125e+04 
       6.735313736867e-02       1.067441806459e+04 
       7.050926880462e-02       1.025230533634e+04 
       7.362257520428e-02       9.805975372813e+03 
       7.672114380749e-02       9.332418367574e+03 
       7.982592386583e-02       8.835537203415e+03 
       8.295330495577e-02       8.324151223295e+03 
       8.611664426660e-02       7.810527617146e+03 
       8.932721911681e-02       7.308598206904e+03 
       9.259484646335e-02       6.832318521638e+03 
       9.592829999661e-02       6.394409354779e+03 
       9.933559909729e-02       6.004152420041e+03 
       1.028242137833e-01       5.667802677655e+03 
       1.064012128639e-01       5.386134435728e+03 
       1.100733726481e-01       5.155748839485e+03 
       1.138472575981e-01       4.968542774494e+03 
       1.177292806122e-01       4.812165799419e+03 
       1.217257482704e-01       4.671475639191e+03 
       1.258428948431e-01       4.530204887565e+03 
       1.300869078613e-01       4.373262347640e+03 
       1.344639473758e-01       4.190081017939e+03 
       1.389801605906e-01       3.976815602361e+03 
       1.436416932587e-01       3.737860955871e+03 
