# Matter power spectrum P(k) at redshift z=0
# for k=1.05233e-05 to 105.341 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052325563190e-05       5.086798340558e+01 
       1.324799392981e-05       6.348685630744e+01 
       1.667823621353e-05       7.923603325717e+01 
       2.099665539312e-05       9.889196100072e+01 
       2.643322303708e-05       1.234236003054e+02 
       3.327745619701e-05       1.540401239078e+02 
       4.189383524628e-05       1.922502770291e+02 
       5.274121378906e-05       2.399363620138e+02 
       6.639725428791e-05       2.994461924078e+02 
       8.358919069641e-05       3.737071963508e+02 
       1.052325563190e-04       4.663674430065e+02 
       1.324799392981e-04       5.819690724167e+02 
       1.667823621353e-04       7.260722320960e+02 
       2.099665539312e-04       9.058093288929e+02 
       2.643322303708e-04       1.129780858016e+03 
       3.327745619701e-04       1.408638052703e+03 
       4.189383524628e-04       1.755395654929e+03 
       5.274121378906e-04       2.185804183105e+03 
       6.639725428791e-04       2.718686781957e+03 
       8.358919069641e-04       3.376179090563e+03 
       1.052325563190e-03       4.183737783623e+03 
       1.324799392981e-03       5.169622003328e+03 
       1.667823621353e-03       6.363312976157e+03 
       2.099665539312e-03       7.793210217706e+03 
       2.643322303708e-03       9.481821771364e+03 
       3.327745619701e-03       1.143908224303e+04 
       4.189383524628e-03       1.365327261108e+04 
       5.274121378906e-03       1.607865203617e+04 
       6.639725428791e-03       1.862034789015e+04 
       8.358919069642e-03       2.112073751285e+04 
       1.052325563190e-02       2.334076403881e+04 
       1.324799392981e-02       2.495433545837e+04 
       1.667823621350e-02       2.556341566946e+04 
       2.099665522924e-02       2.478303015756e+04 
       2.643309761834e-02       2.244442914680e+04 
       3.326002122651e-02       1.890876881914e+04 
       4.131135589294e-02       1.538421832529e+04 
       4.811202194738e-02       1.336600462828e+04 
       5.304182528443e-02       1.237480375957e+04 
       5.710511145546e-02       1.175749882243e+04 
       6.073207945960e-02       1.129269641909e+04 
       6.411431392845e-02       1.088846943912e+04 
       6.735313736867e-02       1.049845560809e+04 
       7.050926880462e-02       1.009823520509e+04 
       7.362257520428e-02       9.675568827758e+03 
       7.672114380749e-02       9.227363195949e+03 
       7.982592386583e-02       8.757263815901e+03 
       8.295330495577e-02       8.273721513377e+03 
       8.611664426660e-02       7.788557953721e+03 
       8.932721911681e-02       7.315214442885e+03 
       9.259484646335e-02       6.867135461476e+03 
       9.592829999661e-02       6.456531292576e+03 
       9.933559909729e-02       6.092248484331e+03 
       1.028242137833e-01       5.780189562160e+03 
       1.064012128639e-01       5.520984071105e+03 
       1.100733726481e-01       5.311285629430e+03 
       1.138472575981e-01       5.143275311054e+03 
       1.177292806122e-01       5.005081128542e+03 
       1.217257482704e-01       4.882124338343e+03 
       1.258428948431e-01       4.758659639581e+03 
       1.300869078613e-01       4.619962003902e+03 
       1.344639473758e-01       4.455603767923e+03 
       1.389801605906e-01       4.261687615002e+03 
       1.436416932587e-01       4.042422045192e+03 
