# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.05233e-05 to 105.341 h/Mpc,
# number of wavenumbers equal to 132
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_m                    6:d_ur                   7:d_tot                  8:phi                    9:psi                
       1.052325563190e-05      -1.317958343308e-03      -9.889826424955e-04      -9.889826752646e-04      -9.889870763794e-04      -1.317937984125e-03      -9.890788910270e-04       4.737897468784e-01       4.736444286132e-01 
       1.324799392981e-05      -2.088186576587e-03      -1.567430572044e-03      -1.567430654352e-03      -1.567437624492e-03      -2.088135449449e-03      -1.567582953275e-03       4.737892317255e-01       4.736439778901e-01 
       1.667823621353e-05      -3.307954166325e-03      -2.484206842922e-03      -2.484207049657e-03      -2.484218083324e-03      -3.307825791820e-03      -2.484447943106e-03       4.737884206693e-01       4.736432688989e-01 
       2.099665539312e-05      -5.238741043473e-03      -3.937194483184e-03      -3.937195002418e-03      -3.937212456648e-03      -5.238418785591e-03      -3.937575577557e-03       4.737871364610e-01       4.736421463439e-01 
       2.643322303708e-05      -8.292773752587e-03      -6.240012377483e-03      -6.240013681488e-03      -6.240041261252e-03      -8.291965087391e-03      -6.240613802616e-03       4.737850875252e-01       4.736403533395e-01 
       3.327745619701e-05      -1.311790008107e-02      -9.889702591277e-03      -9.889705865915e-03      -9.889749369597e-03      -1.311587198267e-02      -9.890649344039e-03       4.737818693050e-01       4.736375400802e-01 
       4.189383524628e-05      -2.072716391657e-02      -1.567399556179e-02      -1.567400378338e-02      -1.567407220752e-02      -2.072208240928e-02      -1.567547992380e-02       4.737767780046e-01       4.736330887895e-01 
       5.274121378906e-05      -3.269189797596e-02      -2.484129069789e-02      -2.484131133479e-02      -2.484141846864e-02      -3.267918440487e-02      -2.484360287607e-02       4.737687195236e-01       4.736260403684e-01 
       6.639725428791e-05      -5.141745784941e-02      -3.936999373655e-02      -3.937004551456e-02      -3.937021202121e-02      -5.138572361279e-02      -3.937355752075e-02       4.737559692612e-01       4.736148800830e-01 
       8.358919069641e-05      -8.050623084174e-02      -6.239523193763e-02      -6.239536176058e-02      -6.239561741710e-02      -8.042731289796e-02      -6.240062960438e-02       4.737358280844e-01       4.735972317722e-01 
       1.052325563190e-04      -1.251552631138e-01      -9.888475713452e-02      -9.888508229473e-02      -9.888546689206e-02      -1.249601569285e-01      -9.889269265093e-02       4.737040591309e-01       4.735693465824e-01 
       1.324799392981e-04      -1.923716949242e-01      -1.567092054124e-01      -1.567100184619e-01      -1.567105766823e-01      -1.918938365849e-01      -1.567202666793e-01       4.736540830549e-01       4.735253601792e-01 
       1.667823621353e-04      -2.903922176453e-01      -2.483359279825e-01      -2.483379555890e-01      -2.483387129360e-01      -2.892392223447e-01      -2.483498054636e-01       4.735757994298e-01       4.734561653179e-01 
       2.099665539312e-04      -4.258881618928e-01      -3.935076014848e-01      -3.935126369759e-01      -3.935135234307e-01      -4.231721227773e-01      -3.935210048752e-01       4.734539755397e-01       4.733477768689e-01 
       2.643322303708e-04      -5.963700937321e-01      -6.234731755433e-01      -6.234855994642e-01      -6.234862395640e-01      -5.902155055334e-01      -6.234750154588e-01       4.732662689974e-01       4.731791033946e-01 
       3.327745619701e-04      -7.751482861335e-01      -9.876593651400e-01      -9.876897085715e-01      -9.876888915428e-01      -7.620595965239e-01      -9.876212946841e-01       4.729812532174e-01       4.729192119460e-01 
       4.189383524628e-04      -8.933935029594e-01      -1.564165542676e+00      -1.564238500122e+00      -1.564232937695e+00      -8.683662689457e-01      -1.564028032927e+00       4.725572463632e-01       4.725245824160e-01 
       5.274121378906e-04      -8.510347753676e-01      -2.476222395693e+00      -2.476393701871e+00      -2.476375355767e+00      -8.113136905939e-01      -2.475887114601e+00       4.719426514811e-01       4.719374447892e-01 
       6.639725428791e-04      -6.251263605321e-01      -3.917906960200e+00      -3.918295349323e+00      -3.918246334073e+00      -5.812361864751e-01      -3.917266947598e+00       4.710757380404e-01       4.710860222876e-01 
       8.358919069641e-04      -4.338887973350e-01      -6.194140355123e+00      -6.194978167997e+00      -6.194862711313e+00      -4.164744789888e-01      -6.193161743699e+00       4.698750203656e-01       4.698835679911e-01 
       1.052325563190e-03      -4.663718331050e-01      -9.782519253488e+00      -9.784209613345e+00      -9.783965085808e+00      -4.831409223819e-01      -9.781225418147e+00       4.682133965858e-01       4.682149999018e-01 
       1.324799392981e-03      -3.314221655247e-01      -1.542798723771e+01      -1.543112551897e+01      -1.543065913298e+01      -3.214316640108e-01      -1.542622357557e+01       4.659071677448e-01       4.659097522588e-01 
       1.667823621353e-03      -2.825367634569e-01      -2.428562388587e+01      -2.429094675749e+01      -2.429014355885e+01      -2.638293613130e-01      -2.428310098763e+01       4.627390684641e-01       4.627400819040e-01 
       2.099665539312e-03      -1.177727887701e-01      -3.813398516437e+01      -3.814243202458e+01      -3.814114605123e+01      -1.227468281451e-01      -3.813000744695e+01       4.584527530037e-01       4.584539383236e-01 
       2.643322303708e-03      -1.112763789844e-01      -5.968455140564e+01      -5.969816186908e+01      -5.969607838435e+01      -9.048295507522e-02      -5.967863074250e+01       4.527347287726e-01       4.527352342099e-01 
       3.327745619701e-03      -4.794742516343e-02      -9.302237199312e+01      -9.304618829055e+01      -9.304252981786e+01      -6.423267534102e-02      -9.301531440809e+01       4.452230977185e-01       4.452235186449e-01 
       4.189383524628e-03       2.489366822767e-02      -1.442142881552e+02      -1.442571138132e+02      -1.442505215351e+02      -2.802444017553e-01      -1.442083414895e+02       4.355244481790e-01       4.355247304444e-01 
       5.274121378906e-03       1.853397628392e-01      -2.220953228705e+02      -2.221746908729e+02      -2.221624587633e+02       1.890934160757e-01      -2.220974064310e+02       4.232189366046e-01       4.232189366046e-01 
       6.639725428791e-03       1.786756204667e-01      -3.392033285665e+02      -3.393587621128e+02      -3.393347907610e+02       1.822932555403e-01      -3.392354684435e+02       4.078706074306e-01       4.078706074306e-01 
       8.358919069642e-03       1.704384677414e-01      -5.127452476994e+02      -5.130625372012e+02      -5.130135867378e+02       1.738893029598e-01      -5.128634671294e+02       3.890654245539e-01       3.890654245539e-01 
       1.052325563190e-02       1.604868414270e-01      -7.650883216559e+02      -7.657586534806e+02      -7.656552185544e+02       1.637363937846e-01      -7.654312059813e+02       3.663758670647e-01       3.663758670647e-01 
       1.324799392981e-02       1.486292520138e-01      -1.122922597619e+03      -1.124366174008e+03      -1.124143405730e+03       1.516394634565e-01      -1.123814541234e+03       3.394026506767e-01       3.394026506767e-01 
       1.667823621350e-02       1.347981475881e-01      -1.613250639879e+03      -1.616361552915e+03      -1.615881467982e+03       1.375282542941e-01      -1.615408777266e+03       3.078243348848e-01       3.078243348848e-01 
       2.099665522924e-02       1.189868786230e-01      -2.254442439338e+03      -2.260984339708e+03      -2.259974757477e+03       1.213961141764e-01      -2.259313678143e+03       2.716420535685e-01       2.716420535685e-01 
       2.643309761834e-02       1.014792742428e-01      -3.044293658535e+03      -3.057282480799e+03      -3.055277957877e+03       1.035342879793e-01      -3.054384262706e+03       2.317118437275e-01       2.317118437275e-01 
       3.326002122651e-02       8.349644064454e-02      -3.960760076041e+03      -3.983931577326e+03      -3.980355580945e+03       8.518736719316e-02      -3.979191312687e+03       1.906647625208e-01       1.906647625208e-01 
       4.131135589294e-02       6.790476518942e-02      -4.965378432235e+03      -4.999342829065e+03      -4.994101184369e+03       6.927995180658e-02      -4.992640408861e+03       1.550643771206e-01       1.550643771206e-01 
